Speed,GyroScop_x,GyroScop_y,GyroScop_z,attitude_pitch,attitude_roll,attitude_yaw,acceleration_x,acceleration_y,acceleration_z,G_x_avg,G_y_avg,A_x_avg,A_y_avg,A_z_avg,marker,trip_id,holizontalAccuracy,verticalAccuracy,altitude,longitude,latitude,timestamp,p_marker,Line Group (Path ID),Order of Points,combined_marker
-3.6,-0.251377671957016,0.361805707216263,0.0414214059710503,1.33308043323342,-0.755546862978847,0.606830603419405,0.0923760458827019,0.0373385846614838,-0.125131741166115,0.0,0.0,0.0,0.0,0.0,normal,2017-05-23  09:12:59.885+0000,65.0,10.3695649767778,898.227294921875,77.6388681015204,12.9536860244853,1495530780.346,normal,0,0,normal
-3.6,0.589371919631958,0.721132695674896,0.382440686225891,1.35110280732014,-0.958268003697557,0.842620205482378,0.279216468334198,-0.104846261441708,-0.32079416513443,0.0,0.0,0.0,0.0,0.0,normal,2017-05-23  09:12:59.885+0000,65.0,11.2497324593839,897.858642578125,77.6387703530414,12.9536043945045,1495530780.439,normal,1,1,normal
-3.6,-0.135630026459694,0.373866319656372,0.332546025514603,1.35069410823282,-1.19780564103856,1.13604771901634,0.328653126955032,0.0427849255502224,-0.0735164880752563,0.0,0.0,0.0,0.0,0.0,normal,2017-05-23  09:12:59.885+0000,65.0,11.2497324593839,897.858642578125,77.6387703530414,12.9536043945045,1495530780.526,normal,2,2,normal
-3.6,0.204778149724007,0.516210317611694,0.0496047213673592,1.33544711164198,-1.07185581113497,1.04274078661843,-0.0433373488485813,0.00411021569743752,0.0557296462357044,0.0,0.0,0.0,0.0,0.0,normal,2017-05-23  09:12:59.885+0000,65.0,11.2497324593839,897.858642578125,77.6387703530414,12.9536043945045,1495530780.625,normal,3,3,normal
-3.6,-0.386766642332077,0.0597127005457878,-0.170845955610275,1.31252219720707,-0.911415261071469,0.930907975502639,0.0558134950697422,0.0473070815205574,-0.0043244450353086,0.0,0.0,0.0,0.0,0.0,normal,2017-05-23  09:12:59.885+0000,65.0,11.2497324593839,897.858642578125,77.6387703530414,12.9536043945045,1495530780.723,normal,4,4,normal
-3.6,-0.531524777412415,0.130857676267624,-0.0444609820842743,1.27618367416772,-0.816669066914329,0.870115620444128,0.323137193918228,-0.164438456296921,-0.0958451181650162,0.0,0.0,0.0,0.0,0.0,normal,2017-05-23  09:12:59.885+0000,65.0,11.2497324593839,897.858642578125,77.6387703530414,12.9536043945045,1495530780.81,normal,5,5,normal
-3.6,0.15467144548893,0.497281849384308,-0.00323747517541051,1.26083873438134,-0.780542026713239,0.856357036431511,0.348511189222336,-0.235229790210724,-0.365687429904938,0.0,0.0,0.0,0.0,0.0,normal,2017-05-23  09:12:59.885+0000,65.0,11.2497324593839,897.858642578125,77.6387703530414,12.9536043945045,1495530780.897,normal,6,6,normal
-3.6,1.07990682125092,0.553293108940125,0.278564602136612,1.28507983066046,-0.866550117092803,0.972254350948291,0.340953677892685,-0.2236607670784,-0.257030934095383,0.0,0.0,0.0,0.0,0.0,normal,2017-05-23  09:12:59.885+0000,65.0,11.2497324593839,897.858642578125,77.6387703530414,12.9536043945045,1495530780.996,normal,7,7,normal
-3.6,0.189439833164215,-0.0882585048675537,-0.035005658864975,1.30617436788554,-0.985890136398629,1.13115547793622,0.134295523166656,0.134258821606636,0.0319927036762238,0.0,0.0,0.0,0.0,0.0,normal,2017-05-23  09:12:59.885+0000,65.0,11.2497324593839,897.858642578125,77.6387703530414,12.9536043945045,1495530781.083,normal,8,8,normal
-3.6,0.0146105699241161,-0.0638695955276489,-0.075713075697422,1.31766193914838,-1.03716134063251,1.20205674871338,0.165540143847466,0.117103762924671,-0.0823723450303078,0.0,0.0,0.0,0.0,0.0,normal,2017-05-23  09:12:59.885+0000,65.0,11.2497324593839,897.858642578125,77.6387703530414,12.9536043945045,1495530781.181,normal,9,9,normal
