,long,lat
Silkboard,77.636,12.916
Kadubeesanahalli,77.695,12.939
Marathahalli,77.700,12.951
KR Puram,77.734,13.008
Kalyan nagar,77.640,13.028
Majestic,77.572,12.979
Koramangala,77.623,12.932
JP Nagar,77.586,12.911
Indhra Nagar,77.641,12.972
Electronic City,77.663,12.842
Madiwala,77.617,12.923
BTM Layout,77.6092,12.9128
